filename	channel	duration	speaker_gender	speech_type
ilyashilyapanoisonde_42_545_553_8_7.wav	1	7	M	S
ilyashilyapanoisonde_28_294_302_8_8.wav	1	8	M	S
bemba_news_item_205_518_522_4_3.wav	1	3	M	S
bemba_news_item_99_421_427_6_5.wav	1	5	F	S
bemba_talkshow_item_64_2773_2780_7_3.wav	1	3	M	S
bemba_news_item_52_81_84_3_2.wav	1	2	F	S
ilyashilyapanoisonde_35_552_555_3_3.wav	1	3	F	S
bemba_talkshow_item_58_157_163_6_5.wav	1	5	M	S
fb_audio_file__6_3356_3363_7_6.wav	1	6	M	S
ilyashi_lya_pano_isonde_19_354_372_18_17.wav	1	17	M	S
bemba_news_item_151_106_110_4_4.wav	1	4	M	S
bemba_news_item_30_518_546_28_15.wav	1	15	M	S
ilyashilyapanoisonde_4_286_291_5_4.wav	1	4	M	S
bemba_news_item_379_289_293_4_4.wav	1	4	M	S
bemba_news_item_187_20_30_10_7.wav	1	7	F	S
ilyashilyapanoisonde_36_549_552_3_2.wav	1	2	M	S
bemba_talkshow_item_62_546_549_3_3.wav	1	3	F	S
bemba_talkshow_item_66_3063_3068_5_5.wav	1	5	F	S
bemba_talkshow_item_56_1680_1686_6_3.wav	1	3	M	S
fb_audio_file__3_604_606_2_2.wav	1	2	M	S
bemba_news_item_199_433_436_3_3.wav	1	3	M	S
bemba_talkshow_item_58_451_453_2_2.wav	1	2	M	S
bemba_news_item_91_278_286_8_7.wav	1	7	M	S
bemba_news_item_119_270_274_4_3.wav	1	3	M	S
bemba_talkshow_item_19_275_278_3_2.wav	1	2	M	S
fb_audio_file__1_1832_1842_10_9.wav	1	9	M	S
fb_audio_file__27_84_87_3_2.wav	1	2	F	S
ilyashi_5_1340_1348_8_7.wav	1	7	M	S
bemba_talkshow_item_75_791_794_3_2.wav	1	2	M	S
fb_audio_file__3_1469_1477_8_8.wav	1	8	M	S
bemba_news_item_348_348_361_13_12.wav	1	12	M	S
ilyashilyapanoisonde_13_743_746_3_2.wav	1	2	M	S
ilyashilyapanoisonde_37_1117_1129_12_11.wav	1	11	M	S
ilyashilyapanoisonde_15_309_312_3_2.wav	1	2	M	S
bemba_news_item_302_387_406_19_18.wav	1	18	F	S
utulimbusha_3_551_578_27_6.wav	1	6	M	S
bemba_talkshow_item_14_1439_1454_15_2.wav	1	2	M	S
bemba_talkshow_item_71_1491_1504_13_13.wav	1	13	M	S
bemba_news_item_188_226_230_4_4.wav	1	4	M	S
bemba_talkshow_item_47_2012_2025_13_12.wav	1	12	M	S
ilyashilyapanoisonde_27_1015_1023_8_7.wav	1	7	M	S
ilyashilyapanoisonde_31_1003_1014_11_10.wav	1	10	M	S
bemba_talkshow_item_25_1786_1789_3_3.wav	1	3	F	S
bemba_talkshow_item_66_1426_1442_16_16.wav	1	16	F	S
ilyashiukufumakundolanakumbi_5_218_222_4_3.wav	1	3	M	S
ilyashiukufumakundolanakumbi_5_1232_1238_6_5.wav	1	5	M	S
bemba_news_item_383_123_125_2_2.wav	1	2	M	S
bemba_news_item_332_389_406_17_11.wav	1	11	F	S
ilyashilyapanoisonde_15_1055_1059_4_3.wav	1	3	M	S
bemba_talkshow_item_69_4302_4306_4_4.wav	1	4	M	S
bemba_talkshow_item_68_3511_3526_15_11.wav	1	11	F	S
bemba_news_item_306_505_509_4_3.wav	1	3	M	S
ilyashi_lya_pano_isonde_19_964_986_22_11.wav	1	11	M	S
ilyashilyapanoisonde_45_433_436_3_3.wav	1	3	M	S
